Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Light,Road_Surface,Traffic_Control,Collision_Location,Collision_Classification,Impact_type,Pedestrian
16-11,NORTOBA CRES btwn STIKINE DR & STIKINE DR,349896.30479,5020129.23793,-75.92478706490,45.31966507780,2016-01-01,10:00:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-12,MARKLAND CRES btwn ROBLYN WAY & ROBLYN WAY,365841.94614,5016224.89026,-75.72189414220,45.28332874930,2016-01-01,12:03:00 PM,03 - Snow,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,99 - Other,0
16-13,BOUNDARY RD @ MITCH OWENS RD,388064.33116,5022162.84473,-75.43766860040,45.33447277880,2016-01-01,12:28:00 PM,03 - Snow,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
16-14,COLDWATER CRES btwn MEADOWBREEZE DR/AUTUMNFIELD ST & MEADOWBREEZE DR/RIVERTREE ST,355562.70100,5015031.85300,-75.85303715200,45.27341103260,2016-01-01,1:41:00 PM,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-15,CUMBERLAND ST @ ST. PATRICK ST,368127.95423,5032748.95673,-75.69064015670,45.43180616600,2016-01-01,4:00:00 PM,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-16,ST. JOSEPH BLVD btwn ST. JEAN ST & BELCOURT BLVD,381165.29741,5037329.98562,-75.52332808570,45.47172054100,2016-01-01,5:01:00 PM,01 - Clear,05 - Dusk,04 - Slush,10 - No control,,03 - P.D. only,05 - Turning movement,0
16-17,STITTSVILLE MAIN ST @ HAZELDEAN RD,349558.24848,5014878.25594,-75.92957276120,45.27243674410,2016-01-01,5:33:00 PM,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-18,MCARTHUR AVE btwn LACASSE AVE & CARMEN AVE,370860.35994,5032760.81629,-75.65572092280,45.43166010520,2016-01-01,5:50:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-19,CUBA AVE @ RUSSELL RD,373002.75036,5029505.53975,-75.62879395340,45.40216502320,2016-01-01,8:39:00 PM,03 - Snow,07 - Dark,03 - Loose snow,02 - Stop sign,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
16-20,BRONSON AVE @ MACLAREN ST,366999.48006,5030399.78424,-75.70535774290,45.41077031270,2016-01-01,8:57:00 PM,03 - Snow,07 - Dark,03 - Loose snow,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
16-21,NELSON ST btwn YORK ST & RIDEAU ST,368596.75497,5032585.66889,-75.68467043450,45.43029435330,2016-01-01,10:35:00 PM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-22,MONTREAL RD @ VANIER PKWY,370071.76840,5033066.23956,-75.66575788160,45.43448222410,2016-01-02,8:58:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-23,DONALD ST btwn 110 E OF ST. LAURENT BLVD & ELAINE DR,372293.21853,5032487.77812,-75.63744787810,45.42906662080,2016-01-02,9:57:00 AM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,02 - Angle,0
16-24,PRESTON ST btwn PAMILLA ST & ADELINE ST,366763.42268,5029083.61355,-75.70853864780,45.39894871110,2016-01-02,7:45:00 AM,01 - Clear,03 - Dawn,02 - Wet,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-25,JACKMAN TER btwn AIRD PL & AIRD PL,351894.31680,5019088.67103,-75.89940229190,45.31017062890,2016-01-02,11:00:00 AM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-26,MAITLAND AVE btwn TARA DR & ERINDALE DR,363510.46364,5025370.68756,-75.75052671940,45.36582070240,2016-01-02,1:02:00 PM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-27,WOODROFFE AVE btwn FOX CRES & GEORGINA DR,361831.63782,5025555.43477,-75.77193481840,45.36762165160,2016-01-02,1:46:00 PM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,03 - Rear end,0
16-28,FALLOWFIELD RD btwn MERIVALE RD & WOODROFFE AVE,366798.65444,5018808.82192,-75.70937705030,45.30649498310,2016-01-02,3:09:00 PM,05 - Drifting Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,01 - Approaching,0
16-29,BANK ST btwn GLADSTONE AVE & MCLEOD ST,367919.95030,5030556.72797,-75.69357915230,45.41210003020,2016-01-02,3:41:00 PM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-30,RIVERSIDE DR @ BROOKFIELD RD/HOG'S BACK RD,368167.71100,5026223.64720,-75.69097056990,45.37308985280,2016-01-02,4:24:00 PM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-31,QUEEN MARY ST btwn NAUGHTON ST & FRANCES ST,371393.06784,5032074.15172,-75.64900629620,45.42543128050,2016-01-02,4:30:00 PM,01 - Clear,05 - Dusk,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-32,COLONEL BY DR/SUSSEX DR @ RIDEAU ST,367922.55852,5032045.07362,-75.69335516410,45.42549143830,2016-01-02,4:42:00 PM,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-33,GREENBANK RD btwn GREENBANK SQUARE SC & GIBBARD AVE,361406.88150,5020667.95762,-75.77791616500,45.32367874690,2016-01-02,4:54:00 PM,01 - Clear,05 - Dusk,02 - Wet,10 - No control,,03 - P.D. only,02 - Angle,0
16-34,MADISON AVE btwn WINSTON AVE & CHURCHILL AVE N,363189.03124,5028364.32958,-75.75427562330,45.39278393250,2016-01-02,5:27:00 PM,01 - Clear,05 - Dusk,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-35,CARTWRIGHT RD @ VICTORIA ST,390240.18525,5014189.22455,-75.41128675710,45.26247156800,2016-01-02,7:16:00 PM,01 - Clear,07 - Dark,02 - Wet,02 - Stop sign,01 - Functioning,02 - Non-fatal injury,01 - Approaching,0
16-36,KING EDWARD AVE @ MURRAY ST,368291.51276,5032754.62356,-75.68854928390,45.43184232460,2016-01-02,7:42:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,04 - Sideswipe,0
16-37,RADCLIFFE GT @ WEYBRIDGE DR,362112.88904,5014897.64764,-75.76957792390,45.27170008130,2016-01-02,10:51:00 PM,01 - Clear,07 - Dark,06 - Ice,02 - Stop sign,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
16-38,WELLINGTON ST    W btwn SHERBROOKE AVE & PINHEY ST,365448.39355,5029541.15503,-75.72527774270,45.40318071110,2016-01-03,12:02:00 AM,01 - Clear,07 - Dark,02 - Wet,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-39,BANK ST @ CATHERINE ST,368038.20446,5030267.19677,-75.69210563060,45.40948424510,2016-01-03,12:22:00 AM,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-40,BANK ST btwn SCRIVENS DR & JOHN QUINN RD,382562.67217,5011204.13741,-75.50956825000,45.23650389080,2016-01-03,12:28:00 AM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
16-41,PORTOBELLO BLVD btwn SCALA AVE & AQUAVIEW DR,385657.64238,5036331.97073,-75.46604670360,45.46223571530,2016-01-03,2:17:00 AM,01 - Clear,07 - Dark,02 - Wet,10 - No control,,03 - P.D. only,07 - SMV other,0
16-42,FALLOWFIELD RD btwn EAGLESON RD & RICHMOND RD,356852.21724,5013027.02833,-75.83681364200,45.25527693810,2016-01-03,5:40:00 AM,05 - Drifting Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
16-43,AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP,370463.40486,5024529.23577,-75.66188921410,45.35763272270,2016-01-03,7:26:00 AM,03 - Snow,03 - Dawn,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-44,CAHILL DR @ HUNT CLUB RD,372409.89858,5024543.01419,-75.63704557730,45.35757170030,2016-01-03,9:13:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
16-45,BILL LEATHEM DR btwn PARAGON AVE & Continuation of BILL LEATHEM DR,366670.67796,5017517.06469,-75.71117008380,45.29488317090,2016-01-03,9:29:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,01 - Approaching,0
16-46,HEATHERINGTON RD btwn ALBION RD N & BANNERHILL PRIV,371592.33625,5026225.89643,-75.64725206930,45.37279204560,2016-01-03,9:44:00 AM,03 - Snow,01 - Daylight,04 - Slush,10 - No control,,02 - Non-fatal injury,01 - Approaching,0
16-47,FRONTIER RD btwn DEVINE RD & BURTON RD,390153.02364,5020617.58346,-75.41129109890,45.32031899130,2016-01-03,10:02:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
16-48,FLEWELLYN RD btwn WORLEY ST & ORMROD RD,341768.87762,5002175.83022,-76.02978464770,45.15858559390,2016-01-03,10:31:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-49,SLACK RD btwn VAAN DR & GRENFELL CRES,365381.49985,5020606.72904,-75.72722745180,45.32279604920,2016-01-03,10:33:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,02 - Non-fatal injury,03 - Rear end,0
16-50,RICHMOND RD @ WOODROFFE AVE,361584.42878,5026654.47881,-75.77496407790,45.37753082820,2016-01-03,12:28:00 PM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-51,WELLINGTON ST    W btwn SHERBROOKE AVE & PINHEY ST,365449.27902,5029539.33354,-75.72526665770,45.40316424500,2016-01-02,9:30:00 PM,03 - Snow,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-52,COLLINGTON ST btwn VILLANDRY ST & SUNVALE WAY,366991.68553,5015175.15200,-75.70737125700,45.27378250430,2016-01-03,12:45:00 PM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-53,PLANTE DR btwn IMPALA CRES & CONDOR DR,369874.51655,5024408.90006,-75.66942067640,45.35660488020,2016-01-03,1:55:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-54,EAGLESON RD btwn FAULKNER TR & FALLOWFIELD RD,355924.86112,5012685.58769,-75.84866324010,45.25227256540,2016-01-03,3:34:00 PM,06 - Strong wind,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,07 - SMV other,0
16-55,NORICE ST btwn WOODROFFE AVE & SULLIVAN AVE,363211.94479,5022404.62166,-75.75468756180,45.33915726210,2016-01-03,5:02:00 PM,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-56,PICCADILLY AVE btwn PERTHSHIRE PRIV & BASSETT LANE,364272.79428,5028790.99956,-75.74038395610,45.39653182560,2016-01-03,12:00:00 AM,01 - Clear,00 - Unknown,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-57,O'CONNOR ST btwn COOPER ST & SOMERSET ST W,367846.26992,5031025.52670,-75.69446043000,45.41632477270,2016-01-03,9:29:00 PM,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-58,BASELINE RD btwn CLYDE AVE & 207 E OF CLYDE AVE,364478.02788,5024966.68551,-75.73822507720,45.36210383940,2016-01-03,6:14:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
16-59,SUNLAND DR btwn LAUZON ST & NORTHLANDS DR,384842.86900,5037017.84928,-75.47635210700,45.46850042780,2016-01-03,6:18:00 PM,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,05 - Turning movement,0
16-60,KING EDWARD AVE btwn MANN AVE & TEMPLETON ST,369113.41729,5031417.75623,-75.67822060530,45.41973859030,2016-01-03,8:00:00 PM,01 - Clear,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,03 - Rear end,0
16-61,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,368083.77690,5030166.12081,-75.69153645750,45.40857067620,2016-01-03,10:14:00 PM,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-62,OR174 IC109 RAMP56 @ REGIONAL RD 174,376310.42592,5034668.94131,-75.58579814080,45.44829218910,2016-01-03,10:14:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,02 - Non-fatal injury,04 - Sideswipe,0
16-63,HOLLAND AVE/TUNNEY'S PASTURE @ SCOTT ST,364737.78283,5029595.53082,-75.73434765210,45.40373117750,2016-01-04,9:22:00 AM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
16-64,MARCH RD btwn 280 S OF CARLING AVE/STATION RD & RICHARDSON SIDE RD,351209.59065,5021917.38216,-75.90786908820,45.33566961780,2016-01-04,9:10:00 AM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-65,"MONTREAL RD btwn EGLISE, RUE DE L & ST. LAURENT BLVD",371533.49424,5033811.15741,-75.64697655350,45.44104667940,2016-01-04,10:36:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-66,CARLINGWOOD SC @ WOODROFFE AVE,361845.57900,5026037.57206,-75.77170118340,45.37195874650,2016-01-04,10:55:00 AM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,02 - Angle,0
16-67,CHURCHILL AVE   N btwn RICHMOND RD & DANFORTH AVE,363232.73095,5028281.07143,-75.75372741230,45.39203114340,2016-01-04,11:23:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-68,SMYTH RD E/LANCASTER RD @ ST. LAURENT BLVD N/R,373364.86702,5029424.07368,-75.62418022850,45.40139665620,2016-01-04,11:55:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-69,CHURCHILL AVE @ RICHMOND RD,363228.58072,5028291.22092,-75.75377921140,45.39212281330,2016-01-04,12:08:00 PM,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-70,SMYTH RD @ BOTSFORD ST/DAUPHIN RD,372243.10029,5029261.55210,-75.63852980250,45.40004332260,2016-01-04,12:00:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-71,DOVERCOURT AVE @ FRASER AVE,362758.86444,5027027.17867,-75.75992612480,45.38078816810,2016-01-04,1:02:00 PM,01 - Clear,01 - Daylight,04 - Slush,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
16-72,GLADSTONE AVE @ CAMBRIDGE ST,367065.45507,5030037.69540,-75.70456068090,45.40750647590,2016-01-04,2:31:00 PM,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
16-73,ROYAL FERN WAY btwn EYE BRIGHT CRES & EYE BRIGHT CRES,369690.64330,5015846.71465,-75.67288896500,45.27958123980,2016-01-04,10:30:00 AM,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-74,REGIONAL RD 174 @ TRIM RD,384351.85330,5039989.96547,-75.48214914490,45.49529678000,2016-01-04,2:50:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-75,MERIVALE RD btwn SLACK RD & CAPITAL DR,366023.45265,5020946.86261,-75.71899746210,45.32580083460,2016-01-04,2:15:00 PM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-76,CARLING AVE WB @ SAIGON CRT,364065.48944,5027194.91820,-75.74322320570,45.38218814400,2016-01-04,3:23:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,02 - Angle,0
16-77,CAMPEAU DR @ TERRY FOX DR,350455.60070,5019011.58090,-75.91775649260,45.30957195690,2016-01-04,3:45:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
16-78,BLACKBURN BYPASS @ INNES RD E,379790.06142,5033783.25138,-75.54145496200,45.43995873610,2016-01-04,3:50:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-79,FERIAND ST btwn JOLLIET AVE & END,369843.44266,5034070.92930,-75.66854304920,45.44354327800,2016-01-02,5:30:00 PM,01 - Clear,05 - Dusk,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-80,MCLEOD ST @ O'CONNOR ST,368117.12344,5030593.17013,-75.69105563850,45.41241011250,2016-01-04,3:59:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-81,LAFONTAINE AVE @ MCARTHUR AVE,370949.25306,5032771.80332,-75.65458347880,45.43175055880,2016-01-04,4:42:00 PM,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,07 - SMV other,0
16-82,BASELINE RD @ MERIVALE RD,365053.94593,5025325.89013,-75.73083049340,45.36528664010,2016-01-04,4:41:00 PM,01 - Clear,05 - Dusk,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-83,MARSHWOOD RD @ VAUGHAN SIDE RD,334016.20629,5018537.88473,-76.12742945570,45.30618570120,2016-01-04,4:44:00 PM,01 - Clear,05 - Dusk,06 - Ice,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
16-84,MONTREAL RD @ VANIER PKWY,370071.95933,5033065.96733,-75.66575547800,45.43447975620,2016-01-04,7:25:00 AM,01 - Clear,03 - Dawn,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-85,HAMILTON AVE @ TYNDALL ST,365185.48216,5028983.23696,-75.72870417460,45.39818341880,2016-01-04,4:55:00 PM,04 - Freezing Rain,05 - Dusk,03 - Loose snow,02 - Stop sign,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-86,CLEARBROOK DR/MARKETPLACE AVE @ LONGFIELDS DR,364632.52018,5014954.16393,-75.73746255930,45.27199875160,2016-01-04,5:04:00 PM,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-87,WEST HUNT CLUB RD @ ANTARES DR/LASER ST,367107.76754,5022081.58622,-75.70502379760,45.33591547480,2016-01-04,5:11:00 PM,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-88,EAGLESON RD btwn MARCH RD & HWY417 IC138 RAMP35,352956.44666,5020200.06895,-75.88574960110,45.32009919260,2016-01-04,5:12:00 PM,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,02 - Non-fatal injury,03 - Rear end,0
16-89,WEST HUNT CLUB RD btwn PRINCE OF WALES DR & HUNT CLUB RD,367620.43802,5021884.54766,-75.69850835720,45.33409684660,2016-01-04,5:25:00 PM,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,02 - Non-fatal injury,03 - Rear end,0
16-90,TRIM RD @ WATTERS RD,384963.55441,5038717.79544,-75.47453154250,45.48378105240,2016-01-04,5:40:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
16-91,INNES RD @ STONEHENGE CRES E,375364.84439,5031315.25028,-75.59836575520,45.41821371450,2016-01-04,5:42:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-92,HARROLD PL btwn TO BE DETERMINED & VETERAN AVE (1),365071.08638,5027595.12151,-75.73033476140,45.38570330020,2016-01-03,5:30:00 PM,03 - Snow,05 - Dusk,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-93,SPRUCE ST btwn ROCHESTER ST & BOOTH ST,366545.67096,5030316.88364,-75.71116530370,45.41006458190,2016-01-04,12:00:00 PM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-94,CARLING AVE @ MERIVALE RD,364894.24456,5027701.23306,-75.73257991790,45.38667326610,2016-01-04,5:40:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-95,ALBERT ST @ PRESTON ST,366161.05974,5030464.66231,-75.71606006360,45.41142808200,2016-01-04,6:13:00 PM,01 - Clear,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-96,OTTAWA RIVER PKWY @ PORTAGE BRIDGE,366516.75596,5031314.96805,-75.71140968600,45.41904761390,2016-01-04,7:48:00 PM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
16-97,PRINCE OF WALES DR btwn 187 N OF MEADOWLANDS DR & MEADOWLANDS DR/HOG'S,367314.70782,5025832.42471,-75.70190949160,45.36964634070,2016-01-04,6:54:00 PM,01 - Clear,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-98,BRIAN COBURN BLVD @ MER BLEUE RD,383150.81890,5034441.16410,-75.49839848590,45.44550952730,2016-01-04,7:37:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
16-99,MCARTHUR AVE btwn EASTWOOD PL & IRWIN MILLER ST,371063.26418,5032783.35605,-75.65312497210,45.43184371240,2016-01-04,9:06:00 PM,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,04 - Sideswipe,0
16-100,CONROY RD @ JOHNSTON RD,373396.91639,5026308.55468,-75.62420391090,45.37336144810,2016-01-04,9:16:00 PM,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,05 - Turning movement,0
16-101,PARKDALE AVE btwn SCOTT ST & BULLMAN ST,364956.14089,5029711.68744,-75.73154440120,45.40475759780,2016-01-04,10:00:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-102,MAITLAND AVE btwn CARLING AVE & DUNCAN PL,362949.28881,5026470.34528,-75.75756038530,45.37576207320,2016-01-04,10:03:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,02 - Angle,0
16-103,BRONSON AVE btwn UNIVERSITY RD & BREWER WAY,368014.45874,5027938.36714,-75.69270742890,45.38853227960,2016-01-04,11:25:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
16-104,BECKENHAM LANE @ MONTREAL RD,374504.20528,5034383.13693,-75.60892682740,45.44590315030,2016-01-05,3:43:00 AM,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
16-105,PAR-LA-VILLE CIRC btwn SANTA ANNA LANE & SANTA ANNA LANE,350149.37438,5016699.95226,-75.92187300850,45.28879108440,2016-01-03,12:00:00 AM,01 - Clear,00 - Unknown,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
