Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Light,Road_Surface,Traffic_Control,Collision_Location,Collision_Classification,Impact_type,Pedestrian
15-12,CUMBERLAND ST @ RIDEAU ST,368373.54714,5032329.49207,-75.68755583780,45.42800969190,2015-01-01,8:14:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-13,DALHOUSIE ST btwn CLARENCE ST & YORK ST,368087.92397,5032427.78247,-75.69119298730,45.42891997760,2015-01-01,7:58:00 PM,01 - Clear,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-14,CARLING AVE @ WOODROFFE AVE W,361767.68360,5025725.03157,-75.77273163420,45.36915287060,2015-01-02,5:47:00 AM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,07 - SMV other,0
15-15,GREENBANK RD btwn 220 N OF STRANDHERD DR & STRANDHERD DR,363895.39153,5014877.30206,-75.74686524670,45.27136947920,2015-01-02,7:05:00 AM,01 - Clear,03 - Dawn,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
15-16,JEANNE D'ARC BLVD @ OR174 IC105 RAMP53,379544.79947,5036795.36878,-75.54413177910,45.46708578790,2015-01-02,7:19:00 AM,01 - Clear,03 - Dawn,01 - Dry,03 - Yield sign,01 - Functioning,03 - P.D. only,99 - Other,0
15-17,TERRY FOX DR @ PALLADIUM DR/KATIMAVIK RD,351269.71800,5018181.29327,-75.90745249350,45.30204741600,2015-01-02,7:35:00 AM,01 - Clear,03 - Dawn,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-18,NEPEAN ST @ O'CONNOR ST,367721.67376,5031225.13882,-75.69602674290,45.41813203370,2015-01-02,7:42:00 AM,01 - Clear,03 - Dawn,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
15-19,CUMMINGS AVE/LABELLE ST @ CYRVILLE RD,372860.67925,5031871.92736,-75.63028176090,45.42347050530,2015-01-02,8:36:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,07 - SMV other,1
15-20,GILMOUR ST @ O'CONNOR ST,367943.71140,5030868.08807,-75.69323572060,45.41489940470,2015-01-02,9:07:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-21,HEMLOCK RD btwn BRAEMAR ST & ST. LAURENT BLVD,371021.28279,5034772.82092,-75.65339376850,45.44974798830,2015-01-02,12:00:00 AM,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-22,MITCH OWENS RD @ STAGECOACH RD,375399.99566,5014485.30157,-75.60031847830,45.26678152460,2015-01-02,10:30:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-23,INDUSTRIAL AVE btwn TRAINYARDS DR & RUSSELL RD,371710.62707,5030539.05051,-75.64515711180,45.41158881000,2015-01-02,10:38:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,02 - Angle,0
15-24,CASTLEFRANK RD btwn HAZELDEAN RD & TO BE DETERMINED,352701.01063,5017652.19069,-75.88925385120,45.29719028420,2015-01-02,10:47:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,03 - Rear end,0
15-25,BASELINE RD @ CLYDE AVE,364359.66716,5024890.99483,-75.73974490970,45.36143285100,2015-01-02,10:30:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
15-26,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372539.79269,5031690.01498,-75.63440677540,45.42186488980,2015-01-02,11:05:00 AM,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
15-27,CARLING AVE @ CONNAUGHT AVE,360770.67620,5025117.03287,-75.78552763350,45.36376246280,2015-01-02,11:41:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-28,RICHMOND RD @ BELLFIELD ST/RIDGEVALLEY DR,359492.59220,5023528.63522,-75.80201703560,45.34957095680,2015-01-02,12:29:00 PM,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
15-29,FALLOWFIELD RD @ WOODROFFE AVE,365085.15000,5017901.74422,-75.73133640550,45.29848231630,2015-01-02,12:30:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,00 - Unknown,03 - P.D. only,03 - Rear end,0
15-30,WOODROFFE AVE @ DEERFOX DR/STONEWAY DR,365886.66196,5015939.95687,-75.72135927100,45.28076104910,2015-01-02,1:57:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-31,TENTH LINE RD btwn OLD TENTH LINE RD & TOMPKINS AVE,383180.07448,5037989.93009,-75.49745878180,45.47743491070,2015-01-02,12:15:00 PM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,02 - Non-fatal injury,03 - Rear end,0
15-32,HUNT CLUB RD @ LORRY GREENBERG DR/SABLE RIDGE,372823.73870,5024806.05902,-75.63172784210,45.35989845030,2015-01-02,2:09:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-33,FRASER AVE @ BYRON AVE,362503.33014,5027654.70932,-75.76311540300,45.38645570340,2015-01-02,2:49:00 PM,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
15-34,UPPER DWYER HILL RD btwn HAMILTON SIDE RD & MCARTON RD,338203.52411,5009677.86963,-76.07462925330,45.22627169670,2015-01-02,3:20:00 PM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
15-35,ROLAND MICHENER DR btwn EARL GREY DR & TRANSITWAY,350872.07500,5018912.46500,-75.91245471150,45.30865288780,2015-01-02,3:25:00 PM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,05 - Turning movement,0
15-36,OGILVIE RD @ CITY PARK DR E/CSIS HQ ACCESS,374189.69206,5033011.05873,-75.61314040130,45.43358923730,2015-01-02,3:00:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-37,LAURIER AVE   W btwn KENT ST & BANK ST,367399.53464,5031215.49104,-75.70014365460,45.41807412200,2015-01-02,3:44:00 PM,03 - Snow,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-38,CHAPMAN MILLS DR @ LONGFIELDS DR,364841.82600,5014582.92110,-75.73484018070,45.26864047110,2015-01-02,3:52:00 PM,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
15-39,OLD TENTH LINE RD @ TENTH LINE RD,383042.97896,5038359.46083,-75.49915320390,45.48077498880,2015-01-01,5:30:00 PM,03 - Snow,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-40,DONALD ST @ ST. LAURENT BLVD,372093.71290,5032471.13912,-75.63999951080,45.42893613490,2015-01-02,4:20:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,00 - Unknown,03 - P.D. only,04 - Sideswipe,0
15-41,HUNTMAR DR btwn CAMPEAU DR & RICHARDSON SIDE RD,348337.95612,5018837.40226,-75.94477670170,45.30813911730,2015-01-02,4:55:00 PM,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
15-42,CARLING AVE @ WYLIE AVE,359140.66820,5024077.02247,-75.80644766480,45.35453270700,2015-01-02,5:07:00 PM,01 - Clear,05 - Dusk,01 - Dry,02 - Stop sign,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-43,INNES RD @ VISENEAU DR,381798.75110,5035071.14636,-75.51558152190,45.45132783830,2015-01-02,6:19:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-44,ST. LAURENT BLVD @ COVENTRY RD/OGILVIE RD,372304.75564,5031951.09267,-75.63737400960,45.42423666460,2015-01-02,7:42:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-45,GREENBANK RD @ HWY 417 IC129 RAMP57/IRIS ST,360530.34514,5023311.04822,-75.78879884300,45.34753141690,2015-01-02,8:04:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-46,FISHER AVE btwn BASELINE RD & MALIBU TER,366205.24782,5025931.66523,-75.71605966940,45.37063737160,2015-01-02,8:32:00 PM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,02 - Angle,0
15-47,CAVAN ST btwn CHATELAIN AVE & LEPAGE AVE,364584.95067,5026569.60257,-75.73666637120,45.37651752400,2015-01-02,12:00:00 AM,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-48,CATHERINE ST/HWY 417 O'CONN IC119BR76 @ O'CONN,368243.10808,5030393.36711,-75.68947192680,45.41060094020,2015-01-03,12:40:00 PM,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,07 - SMV other,0
15-49,CARLING AVE/STATION RD @ MARCH RD,350907.61680,5022246.98953,-75.91169099760,45.33865540440,2015-01-03,1:07:00 PM,03 - Snow,01 - Daylight,05 - Packed snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-50,FISHER AVE @ HOLLAND AVE,365401.73744,5027821.06387,-75.72608497300,45.38770775380,2015-01-03,1:12:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
15-51,MAPLE GROVE RD @ TERRY FOX DR,351554.57246,5017864.94643,-75.90385026900,45.29918194230,2015-01-03,1:36:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,05 - Turning movement,0
15-52,BEVERLY ST @ STITTSVILLE MAIN ST,349843.50288,5013826.06216,-75.92603291240,45.26295052240,2015-01-03,1:52:00 PM,01 - Clear,01 - Daylight,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-53,EAGLESON RD @ FALLOWFIELD RD,355961.63410,5012594.88763,-75.84820411390,45.25145375120,2015-01-03,2:00:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-54,LAVAL ST @ LOYER ST,369410.68640,5033569.11050,-75.67414031720,45.43906824940,2015-01-03,2:11:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,03 - P.D. only,02 - Angle,0
15-55,BANK ST @ GREY'S CREEK RD,380471.50072,5012800.34462,-75.53595592380,45.25109371920,2015-01-03,2:21:00 PM,03 - Snow,01 - Daylight,05 - Packed snow,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
15-56,JOCKVALE RD/RIDEAU VALLEY DR @ PRINCE OF WALES,366710.66076,5012194.91527,-75.71132392020,45.24699125290,2015-01-03,2:36:00 PM,05 - Drifting Snow,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-57,LEES AVE @  TRANSITWAY/HWY 417 NICHOLAS IC118R,369367.40191,5031278.38392,-75.67499386050,45.41846117640,2015-01-03,1:45:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
15-58,MOODIE DR @ ROBERTSON RD,357066.65210,5020454.03232,-75.83329928190,45.32209041200,2015-01-03,2:53:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,04 - Missing/Damaged,03 - P.D. only,02 - Angle,0
15-59,GLADSTONE AVE btwn LYON ST N & KENT ST,367604.91832,5030371.69158,-75.69762718110,45.41046347330,2015-01-03,3:01:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-60,KING EDWARD AVE @ RIDEAU ST,368510.74334,5032414.07113,-75.68579176210,45.42875821940,2015-01-03,3:06:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-61,WEST HUNT CLUB RD @ ANTARES DR/LASER ST,367108.67516,5022080.05592,-75.70501241010,45.33590162480,2015-01-03,3:44:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-62,WOODROFFE AVE btwn GRENFELL CRES & SLACK RD,364542.72444,5019250.12670,-75.73808945290,45.31066132540,2015-01-03,3:45:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
15-63,KING EDWARD AVE @ RIDEAU ST,368510.74334,5032413.10727,-75.68579188680,45.42874954750,2015-01-03,3:51:00 PM,03 - Snow,01 - Daylight,05 - Packed snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-64,STRANDHERD DR btwn FALLOWFIELD RD & MARAVISTA DR,360813.09693,5014952.16587,-75.78613562180,45.27229537460,2015-01-03,3:57:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
15-65,MONTREAL RD btwn GATESTONE PRIV & SINCLAIR ST,375949.02923,5034746.17738,-75.59040654230,45.44902399370,2015-01-03,4:10:00 PM,04 - Freezing Rain,05 - Dusk,03 - Loose snow,10 - No control,,03 - P.D. only,02 - Angle,0
15-66,RIVERSIDE DR @ PLEASANT PARK RD,369561.25100,5028414.53207,-75.67289336960,45.39267533870,2015-01-03,4:14:00 PM,03 - Snow,05 - Dusk,03 - Loose snow,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,03 - Rear end,0
15-67,STITTSVILLE MAIN ST btwn RAVENSCROFT CRT & HOBIN ST,349651.11887,5014048.41070,-75.92846416780,45.26496358710,2015-01-03,4:22:00 PM,02 - Rain,05 - Dusk,03 - Loose snow,10 - No control,,03 - P.D. only,02 - Angle,0
15-68,ORLEANS BLVD btwn BOYER RD & BEAUSEJOUR DR,381054.23596,5035588.77031,-75.52501839910,45.45606663690,2015-01-03,4:33:00 PM,03 - Snow,05 - Dusk,05 - Packed snow,10 - No control,,03 - P.D. only,07 - SMV other,0
15-69,DUNNING RD btwn WILHAVEN DR & INNES RD,391185.23085,5040454.38881,-75.39465135370,45.49866262350,2015-01-03,4:35:00 PM,03 - Snow,05 - Dusk,03 - Loose snow,10 - No control,,03 - P.D. only,01 - Approaching,0
15-70,KENDER AVE @ OGILVIE RD,375256.72060,5035525.11767,-75.59914456560,45.45610256110,2015-01-03,4:48:00 PM,03 - Snow,05 - Dusk,05 - Packed snow,02 - Stop sign,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-71,BRONSON AVE @ GLADSTONE AVE,367134.66556,5030081.08207,-75.70367111910,45.40789069650,2015-01-03,5:14:00 PM,03 - Snow,05 - Dusk,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-72,BLAIR RD @ REGIONAL RD 174 S/OR174 IC112 RAMP15,374907.21687,5032661.45783,-75.60402071980,45.43037215740,2015-01-03,5:44:00 PM,03 - Snow,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-73,CARLING AVE @ MELWOOD AVE,362512.73064,5026199.01103,-75.76316552390,45.37335673080,2015-01-03,5:52:00 PM,03 - Snow,07 - Dark,03 - Loose snow,02 - Stop sign,00 - Unknown,03 - P.D. only,05 - Turning movement,0
15-74,METCALFE ST @ SOMERSET ST,368010.70430,5031103.12702,-75.69234971420,45.41700815930,2015-01-03,5:00:00 PM,03 - Snow,05 - Dusk,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-75,CARLING AVE @ KIRKWOOD AVE S,364352.66436,5027337.06717,-75.73953936750,45.38344282220,2015-01-03,6:06:00 PM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-76,HUNT CLUB RD @ UPLANDS DR,370155.22570,5023123.29390,-75.66600813770,45.34501125190,2015-01-03,6:35:00 PM,03 - Snow,07 - Dark,05 - Packed snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,01 - Approaching,0
15-77,CYRVILLE RD @ INNES RD,375047.72470,5031120.04613,-75.60244504240,45.41648928370,2015-01-03,7:00:00 PM,03 - Snow,07 - Dark,05 - Packed snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-78,INNES RD @ ORCHARDVIEW AVE/ESPRIT DR,384843.80074,5036560.07757,-75.47641474350,45.46438172620,2015-01-03,7:16:00 PM,03 - Snow,07 - Dark,05 - Packed snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,05 - Turning movement,0
15-79,CARLING AVE @ WESTGATE SC E,364800.31660,5027658.77647,-75.73378445770,45.38629930220,2015-01-03,7:34:00 PM,03 - Snow,07 - Dark,05 - Packed snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
15-80,PAUL ANKA DR btwn UPLANDS DR & MCCARTHY RD,369587.42517,5023733.62766,-75.67317307230,45.35055554880,2015-01-03,12:00:00 AM,03 - Snow,00 - Unknown,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-81,MERIVALE RD btwn BASELINE RD & NE/OT BOUNDARY,365050.84098,5025291.31328,-75.73087434140,45.36497579060,2015-01-03,8:10:00 PM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,04 - Sideswipe,0
15-82,CHESTERTON DR @ MEADOWLANDS DR,365099.77589,5024009.98973,-75.73040604310,45.35344243210,2015-01-03,8:14:00 PM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
15-83,ANDERSON RD @ INNES RD,376281.70496,5031842.04583,-75.58657573130,45.42286044260,2015-01-03,9:21:00 PM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,05 - Turning movement,0
15-84,FISHER AVE btwn 220 S OF TRENT ST & MCCOOEY LANE,365921.44184,5026596.85118,-75.71960026820,45.37664739100,2015-01-03,10:11:00 PM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,03 - Rear end,0
15-85,BRIAN COBURN BLVD btwn AQUAVIEW DR & ESPRIT DR,384795.61521,5035187.29467,-75.47725416370,45.45203622890,2015-01-03,11:00:00 PM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,02 - Non-fatal injury,07 - SMV other,1
15-86,MEADOWLANDS DR @ VIEWMOUNT DR,363739.68340,5023106.95628,-75.74787073810,45.34543266770,2015-01-04,12:20:00 AM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-87,JESSIE ST @ THOMAS A. DOLAN PKWY,334653.35364,5024374.04955,-76.11895260190,45.35867564530,2015-01-04,1:00:00 AM,02 - Rain,07 - Dark,05 - Packed snow,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
15-88,INDUSTRIAL AVE btwn RIVERSIDE DR & SANDFORD FLEMING AVE,370708.81499,5030587.25220,-75.65794830800,45.41211757620,2015-01-04,3:27:00 AM,04 - Freezing Rain,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,03 - Rear end,0
15-89,AIRPORT PKWY @ HUNT CLUB RD,371019.49186,5023701.55242,-75.65490309230,45.35013318810,2015-01-04,3:14:00 AM,04 - Freezing Rain,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
15-90,REGIONAL ROAD 174 btwn OR174 IC109 RAMP56 & OR174 IC109 RAMP86,376451.32896,5034990.39341,-75.58395022200,45.45116997990,2015-01-04,6:45:00 AM,04 - Freezing Rain,07 - Dark,04 - Slush,10 - No control,,03 - P.D. only,03 - Rear end,0
15-91,FRANK KENNY RD @ ROCKDALE RD,395188.64458,5023340.20561,-75.34657545830,45.34418382890,2015-01-04,8:45:00 AM,03 - Snow,01 - Daylight,06 - Ice,02 - Stop sign,01 - Functioning,03 - P.D. only,07 - SMV other,0
15-92,BANK ST @ ROSEBELLA AVE,373205.74310,5023550.03157,-75.62702619290,45.34856002530,2015-01-03,1:00:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-93,QUEEN MARY ST @ VANIER PKWY,370363.71050,5031958.06703,-75.66217449240,45.42448403770,2015-01-04,9:31:00 AM,04 - Freezing Rain,01 - Daylight,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-94,CASTLEFRANK RD @ KATIMAVIK RD,351951.41676,5018943.03397,-75.89868798830,45.30885632080,2015-01-04,10:07:00 AM,05 - Drifting Snow,01 - Daylight,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-95,WEST HUNT CLUB RD btwn MOODIE DR & RICHMOND RD,357887.41074,5018485.44365,-75.82304154240,45.30431526320,2015-01-04,10:41:00 AM,02 - Rain,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,07 - SMV other,0
15-96,CARSON'S RD btwn BERMUDA AVE & CHARLESWOOD AVE,372898.82011,5034093.27861,-75.62948719020,45.44345340180,2015-01-04,10:44:00 AM,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-97,ROXDALE AVE btwn PAYETTE DR & AMIENS ST,383303.90672,5037502.20963,-75.49595305290,45.47303293370,2015-01-02,11:27:00 AM,02 - Rain,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-98,RIVER RD btwn RYEBURN DR & LEITRIM RD,368029.80110,5016971.53835,-75.69391297720,45.28985360790,2015-01-04,11:31:00 AM,02 - Rain,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,01 - Approaching,0
15-99,BLEEKS RD btwn BUTTERFIELD RD & CONLEY RD,350136.21055,5003995.45478,-75.92319836520,45.17447175730,2015-01-04,12:25:00 PM,04 - Freezing Rain,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,02 - Angle,0
15-100,THORNTON AVE btwn RALPH ST & MONK ST,368281.57872,5029245.96128,-75.68912821310,45.40027345930,2015-01-04,12:48:00 PM,04 - Freezing Rain,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,02 - Angle,0
15-101,CARLING AVE @ CONNAUGHT AVE,360771.64006,5025117.99673,-75.78551522100,45.36377105800,2015-01-04,1:03:00 PM,04 - Freezing Rain,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
15-102,REGIONAL ROAD 174 btwn OR174 IC105 RAMP51 & OR174 IC105 RAMP35,379362.00508,5036975.48667,-75.54644177890,45.46872588830,2015-01-04,1:05:00 PM,04 - Freezing Rain,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,07 - SMV other,0
15-103,REGIONAL ROAD 174 btwn OR174 IC105 RAMP25 & OR174 IC102 RAMP51,380756.55708,5037765.04933,-75.52848764040,45.47567946270,2015-01-04,1:08:00 PM,04 - Freezing Rain,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,07 - SMV other,0
15-104,BASELINE RD btwn ST. HELEN'S PL & CLYDE AVE,364232.43824,5024814.85025,-75.74137794990,45.36075851080,2015-01-04,1:21:00 PM,02 - Rain,01 - Daylight,06 - Ice,10 - No control,,02 - Non-fatal injury,06 - SMV unattended vehicle,0
