"date_time","year","month","day","time","temp_c","temp_flag","dew_point_temp_c","dew_point_temp_flag","rel_hum_percent","rel_hum_flag","wind_dir_10s_deg","wind_dir_flag","wind_spd_km_h","wind_spd_flag","visibility_km","visibility_flag","stn_press_kpa","stn_press_flag","hmdx","hmdx_flag","wind_chill","wind_chill_flag","weather","station_name","province"
"2010-03-02 12:00","2010","03","02","12:00","-0.8","","-12.7","","40","","23","","2","","","","98.08","","","","-1","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 13:00","2010","03","02","13:00","2.0","","-12.4","","34","","31","","4","","","","98.07","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 14:00","2010","03","02","14:00","2.9","","-11.3","","34","","30","","7","","","","98.03","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 15:00","2010","03","02","15:00","3.1","","-11.4","","34","","30","","7","","","","97.97","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 16:00","2010","03","02","16:00","2.5","","-12.4","","32","","31","","9","","","","97.97","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 17:00","2010","03","02","17:00","2.1","","-15.2","","26","","34","","7","","","","97.98","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 18:00","2010","03","02","18:00","0.7","","-10.3","","44","","34","","4","","","","98.00","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 19:00","2010","03","02","19:00","","","","","","","","","","","","","","","","","","","","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 20:00","2010","03","02","20:00","-3.2","","-8.5","","67","","35","","6","","","","98.05","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 21:00","2010","03","02","21:00","-4.0","","-7.6","","76","","32","","6","","","","98.09","","","","-7","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 22:00","2010","03","02","22:00","-3.4","","-6.9","","77","","34","","4","","","","98.10","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 23:00","2010","03","02","23:00","-7.0","","-8.5","","89","","33","","2","","","","98.06","","","","-8","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 00:00","2010","03","03","00:00","-9.6","","-10.7","","92","","32","","4","","","","98.08","","","","-12","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 01:00","2010","03","03","01:00","-11.2","","-12.2","","92","","32","","4","","","","98.11","","","","-14","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 02:00","2010","03","03","02:00","-11.7","","-12.2","","96","","32","","4","","","","98.13","","","","-14","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 03:00","2010","03","03","03:00","-11.1","","-12.1","","92","","31","","2","","","","98.15","","","","-12","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 04:00","2010","03","03","04:00","-10.1","","-10.8","","95","","","","0","","","","98.14","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 05:00","2010","03","03","05:00","-9.4","","-10.4","","92","","","","0","","","","98.17","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 06:00","2010","03","03","06:00","-8.6","","-9.9","","90","","","","0","","","","98.18","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 07:00","2010","03","03","07:00","-8.0","","-8.9","","93","","35","","2","","","","98.20","","","","-9","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 08:00","2010","03","03","08:00","-6.6","","-7.3","","95","","34","","2","","","","98.26","","","","-8","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 09:00","2010","03","03","09:00","-5.9","","-6.9","","93","","","","0","","","","98.27","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 10:00","2010","03","03","10:00","-4.5","","-6.5","","86","","","","0","","","","98.29","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 11:00","2010","03","03","11:00","-3.0","","-5.8","","81","","7","","2","","","","98.31","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 12:00","2010","03","03","12:00","-2.2","","-5.7","","77","","3","","2","","","","98.30","","","","-3","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 13:00","2010","03","03","13:00","-1.8","","-5.1","","78","","28","","6","","","","98.30","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 14:00","2010","03","03","14:00","-0.3","","-5.7","","67","","35","","4","","","","98.25","","","","-2","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 15:00","2010","03","03","15:00","-0.9","","-5.3","","72","","36","","6","","","","98.21","","","","-3","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 16:00","2010","03","03","16:00","-0.9","","-5.2","","73","","4","","4","","","","98.21","","","","-2","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 17:00","2010","03","03","17:00","-1.1","","-5.7","","71","","5","","4","","","","98.21","","","","-2","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 18:00","2010","03","03","18:00","-1.4","","-5.8","","72","","","","0","","","","98.21","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 19:00","2010","03","03","19:00","-2.7","","-6.5","","75","","36","","4","","","","98.23","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 20:00","2010","03","03","20:00","-3.6","","-6.4","","81","","32","","2","","","","98.26","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 21:00","2010","03","03","21:00","-4.0","","-6.4","","83","","4","","4","","","","98.28","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 22:00","2010","03","03","22:00","-4.4","","-6.5","","85","","28","","2","","","","98.28","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-03 23:00","2010","03","03","23:00","-4.9","","-6.7","","87","","12","","2","","","","98.26","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 00:00","2010","03","04","00:00","-5.1","","-7.2","","85","","17","","4","","","","98.24","","","","-7","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 01:00","2010","03","04","01:00","-5.8","","-7.5","","88","","13","","4","","","","98.23","","","","-8","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 02:00","2010","03","04","02:00","-8.6","","-9.2","","95","","13","","2","","","","98.26","","","","-10","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 03:00","2010","03","04","03:00","-11.3","","-12.0","","95","","","","0","","","","98.28","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 04:00","2010","03","04","04:00","-13.8","","-14.8","","92","","30","","2","","","","98.28","","","","-15","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 05:00","2010","03","04","05:00","-16.0","","-17.2","","90","","32","","2","","","","98.30","","","","-17","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 06:00","2010","03","04","06:00","-17.6","","-19.2","","87","","29","","2","","","","98.35","","","","-19","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 07:00","2010","03","04","07:00","-18.4","","-19.8","","89","","","","0","","","","98.37","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 08:00","2010","03","04","08:00","-19.1","","-20.6","","88","","","","0","","","","98.38","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 09:00","2010","03","04","09:00","-13.8","","-16.2","","82","","","","0","","","","98.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 10:00","2010","03","04","10:00","-5.7","","-9.9","","72","","","","0","","","","98.43","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 11:00","2010","03","04","11:00","-2.1","","-8.9","","60","","20","","9","","","","98.44","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 12:00","2010","03","04","12:00","-0.1","","-9.0","","51","","16","","7","","","","98.41","","","","-3","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 13:00","2010","03","04","13:00","0.1","","-8.5","","52","","18","","11","","","","98.39","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 14:00","2010","03","04","14:00","0.1","","-8.4","","53","","17","","15","","","","98.35","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 15:00","2010","03","04","15:00","0.6","","-8.5","","50","","15","","13","","","","98.31","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 16:00","2010","03","04","16:00","0.2","","-9.0","","50","","15","","17","","","","98.30","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 17:00","2010","03","04","17:00","-0.3","","-8.7","","53","","15","","13","","","","98.28","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 18:00","2010","03","04","18:00","-1.3","","-9.2","","55","","15","","9","","","","98.29","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 19:00","2010","03","04","19:00","-3.8","","-9.8","","63","","16","","7","","","","98.25","","","","-7","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 20:00","2010","03","04","20:00","-5.7","","-9.7","","73","","17","","6","","","","98.21","","","","-9","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 21:00","2010","03","04","21:00","-8.7","","-10.9","","84","","16","","2","","","","98.21","","","","-10","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 22:00","2010","03","04","22:00","-10.0","","-11.8","","87","","16","","2","","","","98.21","","","","-11","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-04 23:00","2010","03","04","23:00","-12.0","","-13.1","","91","","","","0","","","","98.20","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 00:00","2010","03","05","00:00","-12.8","","-13.7","","93","","","","0","","","","98.22","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 01:00","2010","03","05","01:00","-14.0","","-14.8","","94","","","","0","","","","98.22","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 02:00","2010","03","05","02:00","-15.6","","-16.7","","91","","","","0","","","","98.24","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 03:00","2010","03","05","03:00","-16.0","","-17.1","","91","","","","0","","","","98.29","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 04:00","2010","03","05","04:00","-16.1","","-17.1","","92","","30","","2","","","","98.29","","","","-18","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 05:00","2010","03","05","05:00","-17.4","","-18.4","","92","","","","0","","","","98.30","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 06:00","2010","03","05","06:00","-18.0","","-19.4","","89","","","","0","","","","98.32","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 07:00","2010","03","05","07:00","-19.0","","-20.5","","88","","","","0","","","","98.33","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 08:00","2010","03","05","08:00","-18.8","","-20.2","","89","","","","0","","","","98.34","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 09:00","2010","03","05","09:00","-11.3","","-13.7","","82","","12","","2","","","","98.38","","","","-13","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 10:00","2010","03","05","10:00","-3.1","","-9.7","","60","","14","","2","","","","98.38","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 11:00","2010","03","05","11:00","0.5","","-7.9","","53","","17","","7","","","","98.38","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 12:00","2010","03","05","12:00","","","","","","","","","","","","","","","","","","","","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 13:00","2010","03","05","13:00","3.9","","-7.7","","42","","15","","13","","","","98.31","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 14:00","2010","03","05","14:00","4.7","","-6.9","","43","","15","","9","","","","98.27","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 15:00","2010","03","05","15:00","4.7","","-7.1","","42","","14","","13","","","","98.23","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 16:00","2010","03","05","16:00","4.9","","-6.4","","44","","15","","15","","","","98.24","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 17:00","2010","03","05","17:00","5.0","","-6.3","","44","","16","","15","","","","98.23","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 18:00","2010","03","05","18:00","3.8","","-5.4","","51","","15","","13","","","","98.23","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 19:00","2010","03","05","19:00","0.5","","-5.1","","66","","16","","9","","","","98.22","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 20:00","2010","03","05","20:00","-2.0","","-5.5","","77","","17","","7","","","","98.20","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 21:00","2010","03","05","21:00","-3.6","","-6.1","","83","","15","","4","","","","98.19","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 22:00","2010","03","05","22:00","-5.3","","-6.4","","92","","","","0","","","","98.20","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-05 23:00","2010","03","05","23:00","-6.4","","-6.9","","96","","30","","2","","","","98.21","","","","-7","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 00:00","2010","03","06","00:00","-7.6","","-8.1","","96","","17","","2","","","","98.21","","","","-9","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 01:00","2010","03","06","01:00","-8.4","","-8.9","","96","","","","0","","","","98.20","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 02:00","2010","03","06","02:00","-9.2","","-9.6","","97","","16","","2","","","","98.21","","","","-10","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 03:00","2010","03","06","03:00","-10.1","","-10.8","","95","","","","0","","","","98.20","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 04:00","2010","03","06","04:00","-10.9","","-11.6","","95","","","","0","","","","98.20","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 05:00","2010","03","06","05:00","-11.7","","-12.5","","94","","","","0","","","","98.21","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 06:00","2010","03","06","06:00","-12.2","","-13.2","","92","","","","0","","","","98.21","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 07:00","2010","03","06","07:00","-13.3","","-14.4","","91","","9","","2","","","","98.20","","","","-15","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 08:00","2010","03","06","08:00","-7.4","","-7.4","","100","","27","","7","","","","98.23","","","","-11","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 09:00","2010","03","06","09:00","-3.6","","-3.8","","99","","30","","6","","","","98.25","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 10:00","2010","03","06","10:00","-1.8","","-2.7","","94","","29","","9","","","","98.25","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 11:00","2010","03","06","11:00","-1.2","","-2.9","","88","","30","","11","","","","98.24","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 12:00","2010","03","06","12:00","-0.8","","-3.0","","85","","29","","19","","","","98.21","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 13:00","2010","03","06","13:00","-0.5","","-2.9","","84","","30","","15","","","","98.18","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 14:00","2010","03","06","14:00","0.3","","-2.5","","81","","29","","13","","","","98.12","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 15:00","2010","03","06","15:00","0.4","","-2.5","","81","","29","","15","","","","98.07","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 16:00","2010","03","06","16:00","0.6","","-2.6","","79","","30","","17","","","","98.06","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 17:00","2010","03","06","17:00","0.7","","-2.8","","77","","29","","22","","","","98.02","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 18:00","2010","03","06","18:00","0.6","","-3.2","","76","","30","","11","","","","97.99","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 19:00","2010","03","06","19:00","-2.0","","-4.3","","84","","30","","7","","","","97.99","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 20:00","2010","03","06","20:00","-4.8","","-5.5","","95","","6","","2","","","","97.93","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 21:00","2010","03","06","21:00","-5.9","","-6.2","","98","","4","","2","","","","97.91","","","","-7","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 22:00","2010","03","06","22:00","-6.0","","-6.2","","98","","28","","4","","","","97.87","","","","-8","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-06 23:00","2010","03","06","23:00","-2.2","","-3.6","","90","","29","","9","","","","97.81","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 00:00","2010","03","07","00:00","-1.9","","-3.9","","86","","29","","7","","","","97.77","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 01:00","2010","03","07","01:00","-1.2","","-3.6","","84","","30","","13","","","","97.75","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 02:00","2010","03","07","02:00","-1.2","","-3.9","","82","","29","","17","","","","97.72","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 03:00","2010","03","07","03:00","-1.3","","-4.0","","82","","29","","15","","","","97.70","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 04:00","2010","03","07","04:00","-1.0","","-3.8","","81","","28","","17","","","","97.64","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 05:00","2010","03","07","05:00","-1.7","","-4.1","","84","","30","","11","","","","97.68","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 06:00","2010","03","07","06:00","-2.2","","-4.2","","86","","30","","7","","","","97.71","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 07:00","2010","03","07","07:00","-2.6","","-4.5","","87","","31","","7","","","","97.71","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 08:00","2010","03","07","08:00","-2.1","","-4.3","","85","","30","","11","","","","97.71","","","","-6","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 09:00","2010","03","07","09:00","-0.3","","-4.3","","74","","30","","15","","","","97.68","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 10:00","2010","03","07","10:00","1.8","","-4.1","","65","","30","","17","","","","97.67","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 11:00","2010","03","07","11:00","4.3","","-3.9","","55","","30","","15","","","","97.63","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 12:00","2010","03","07","12:00","7.1","","-4.1","","45","","28","","11","","","","97.59","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 13:00","2010","03","07","13:00","8.7","","-4.7","","38","","30","","11","","","","97.55","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 14:00","2010","03","07","14:00","10.0","","-5.3","","34","","29","","19","","","","97.52","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 15:00","2010","03","07","15:00","11.1","","-5.8","","30","","31","","11","","","","97.47","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 16:00","2010","03","07","16:00","11.2","","-5.5","","31","","31","","17","","","","97.43","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 17:00","2010","03","07","17:00","11.0","","-4.7","","33","","30","","17","","","","97.42","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 18:00","2010","03","07","18:00","10.1","","-4.7","","35","","27","","13","","","","97.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 19:00","2010","03","07","19:00","7.7","","-4.2","","43","","27","","11","","","","97.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 20:00","2010","03","07","20:00","5.1","","-4.0","","52","","26","","9","","","","97.42","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 21:00","2010","03","07","21:00","2.8","","-4.0","","61","","26","","9","","","","97.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 22:00","2010","03","07","22:00","4.8","","-3.5","","55","","28","","13","","","","97.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-07 23:00","2010","03","07","23:00","3.9","","-4.4","","55","","29","","13","","","","97.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-08 00:00","2010","03","08","00:00","3.4","","-3.8","","59","","28","","17","","","","97.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
